City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Paragominas,BR,-2.9667,-47.4833,74.59,85,63,1.81,broken clouds
335,Vila Do Maio,CV,15.1333,-23.2167,75.99,72,57,9.24,broken clouds
336,Bay Roberts,CA,47.5999,-53.2648,34.34,84,100,1.01,overcast clouds
337,Bosobolo,CD,4.1833,19.9,69.35,80,85,0.67,overcast clouds
338,Bosaso,SO,11.2842,49.1816,76.51,68,0,2.08,clear sky
339,Flinders,AU,-34.5833,150.8552,66.18,55,44,7.0,scattered clouds
340,Cefalu,IT,38.0386,14.0229,65.75,74,93,10.0,overcast clouds
341,Aklavik,CA,68.2191,-135.0107,8.2,78,83,2.98,broken clouds
342,San Quintin,MX,30.4833,-115.95,60.93,50,0,3.76,clear sky
343,Antofagasta,CL,-23.65,-70.4,61.88,87,38,2.01,scattered clouds
